normalized_expression_id,consolidated_expression_id,original_expression,normalized_expression,normalization_changed,expression_hash,source_count,total_frequency,source_ids,source_types,max_quality_score,max_confidence,created_at
NPE-000045,CPE-000022,required follow the occupational,required follow the occupational,no,620afa0ffb88c47153d8c06bff77ccc043112ccd97522226067a3aed9e42fcb1,1,6,SP-000153,filtered_pattern,8,0.49,2026-06-28 02:37:22
NPE-000046,CPE-000070,statement of work,statement of work,no,1cf4aab99c0b1f6b87251191ca1f4dc6007f22d403fcedcd71e48858fc27b27c,2,6,SA-000733;SP-000733,filtered_alias;filtered_pattern,12,0.5,2026-06-28 02:37:22
NPE-000047,CPE-000017,synopsis solicitation,synopsis solicitation,no,8bb19759907e9678a8e2214ff9c93d70d2187d2de0e94e3a491ef121fe7bce4f,1,6,SP-000111,filtered_pattern,9,0.51,2026-06-28 02:37:22
NPE-000048,CPE-000060,the contracting officer,the contracting officer,no,95a7e9572be792ec62c995122f6790c9cb206f9fcfece4613c166eebcf8cad73,2,6,SA-000610;SP-000610,filtered_alias;filtered_pattern,12,0.5,2026-06-28 02:37:22
NPE-000049,CPE-000028,title footnote rate 01000,title footnote rate 01000,no,6e9b02c332e210815eba18e74612ee31f59f08de2f6e5593955b50bcc2092f5c,1,6,SP-000160,filtered_pattern,8,0.49,2026-06-28 02:37:22
NPE-000050,CPE-000030,combined synopsis solicitation,combined synopsis solicitation,no,dd51a5ab72559bda69a3734fc57b2a9f00140e29f9292f6585fd9c9683d4d21a,1,5,SP-000198,filtered_pattern,9,0.49,2026-06-28 02:37:22
NPE-000051,CPE-000052,a combined synopsis solicitation,a combined synopsis solicitation,no,224b3d35c0c2018c8c7cf3fe26b9f239323b2b193ef105e763bb51da47970574,1,4,SP-000428,filtered_pattern,9,0.48,2026-06-28 02:37:22
NPE-000052,CPE-000037,above numbered solicitation,above numbered solicitation,no,dc265ea827e36df23a14d595d33912a31016ce53da346102389c5993aedec262,1,4,SP-000328,filtered_pattern,8,0.46,2026-06-28 02:37:22
NPE-000053,CPE-000043,above numbered solicitation is,above numbered solicitation is,no,439eadba929b930f03816e0ca82c53b8563443fd67b435fbbdd4cb8191571d01,1,4,SP-000341,filtered_pattern,9,0.48,2026-06-28 02:37:22
NPE-000054,CPE-000053,accordance with the format,accordance with the format,no,ed9502fe20478e71bf8b99933d9794272d106e1486bbcc705ad5d9d7daa7ebf3,1,4,SP-000430,filtered_pattern,9,0.48,2026-06-28 02:37:22
NPE-000055,CPE-000049,affairs national cemetery,affairs national cemetery,no,df03f2c8195b252d78d55ecc399a011c4658e2d115cd1175889032a8aba614eb,1,4,SP-000406,filtered_pattern,8,0.46,2026-06-28 02:37:22
NPE-000056,CPE-000046,award a contract,award a contract,no,b89628fc08ed219c0c627aa5c30871b18d8b706e558782f53b83b1cada4a6d4f,1,4,SP-000383,filtered_pattern,8,0.46,2026-06-28 02:37:22
NPE-000057,CPE-000048,black hills national cemetery,black hills national cemetery,no,7d983d9813620c3220a56e3d8a99b76ef104ec9850b1bc3300ca48f604692322,1,4,SP-000393,filtered_pattern,9,0.48,2026-06-28 02:37:22
NPE-000058,CPE-000057,corps base camp lejeune,corps base camp lejeune,no,8b9168a82958a7c583f366366241d02d9a53b2a9a9e9a46d789f5c7b298ed1b2,1,4,SP-000526,filtered_pattern,9,0.48,2026-06-28 02:37:22
NPE-000059,CPE-000047,hills national cemetery,hills national cemetery,no,f81fc26c9f86a2b6188a5e7b1463deee141dde6b76a6f7233729914d128f629b,1,4,SP-000392,filtered_pattern,8,0.46,2026-06-28 02:37:22
NPE-000060,CPE-000035,in the solicitation,in the solicitation,no,d045002e4a4e1931baf6d7a4668a9af803f5a976f0eb9ffce432372ff3ff6b31,1,4,SP-000306,filtered_pattern,8,0.46,2026-06-28 02:37:22
NPE-000061,CPE-000056,marine corps base camp,marine corps base camp,no,2307bbe65d6d248f171bc2ac5ca98fe431202e3ba81cd3f86436822ebbe5f3f0,1,4,SP-000525,filtered_pattern,9,0.48,2026-06-28 02:37:22
NPE-000062,CPE-000038,numbered solicitation is,numbered solicitation is,no,dad1fbdf7efedef5efb9a207f8fe72f540d7e6c15a972d4e040921d1c0c627bb,1,4,SP-000329,filtered_pattern,8,0.46,2026-06-28 02:37:22
NPE-000063,CPE-000044,numbered solicitation is amended,numbered solicitation is amended,no,c8fab3835292693319e92b9e28ec5994ee9841fa712dcf7fedc76d742c371f39,1,4,SP-000342,filtered_pattern,9,0.48,2026-06-28 02:37:22
NPE-000064,CPE-000040,only applies to amendments,only applies to amendments,no,fd44800647f3e6d5e0b38e8d78c9d1564220c62c45f6528f50f67eed0b8544c0,1,4,SP-000337,filtered_pattern,9,0.48,2026-06-28 02:37:22
NPE-000065,CPE-000039,solicitation is amended,solicitation is amended,no,ad32ae6526fe6e93d778d2b98d9daddf7667d94db56eb2ae1d58e4ebc1f3e39e,1,4,SP-000330,filtered_pattern,8,0.46,2026-06-28 02:37:22
NPE-000066,CPE-000042,the above numbered solicitation,the above numbered solicitation,no,9e71fd1e0ab461ad4e9edd553ab12e636acb80f0bab1c8eac4ab7780cacb3c4f,1,4,SP-000340,filtered_pattern,9,0.48,2026-06-28 02:37:22
NPE-000067,CPE-000045,to award a,to award a,no,2a3bd7940ca54222cce336bfaba3e72889848aaf02328b46695ca1ef7645b613,1,4,SP-000379,filtered_pattern,8,0.46,2026-06-28 02:37:22
