canonical_statement_id,source_count,duplicate_count,opportunity_title,normalized_text_hash,lineage_complete
CGS-000153,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,0008132be447f9b74a1eafb3240d70a347d9d98779d110bd1b1496acb9aef9a2,yes
CGS-000154,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,a3aeffbf65085d2477f4d15b5616370876d1be19f379c6e907c98307e68a5d15,yes
CGS-000155,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,f393c40b35a16e5588b052eac3a79c85b15fe8d9403479bb08732c069ca4152e,yes
CGS-000156,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,c68bc5e6410dcd991b7b9f7081d136229ad1668fe6616e82611a597f21075a3d,yes
CGS-000157,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,a69366b7d86832a253d39dada9809f8a5968e9793ff3eab592e9f44357545ab8,yes
CGS-000158,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,50cfb425100520fcf92308e78fa462326d80a6925c11ca9ee1f86aa214c55ca8,yes
CGS-000159,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,461ad6232b2b780a427cf19b56991ecd52ca36d7af838193d0e24aaa046595cf,yes
CGS-000160,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,8c6a182934f93aff1f512638c9a4f231fce64d493a9e4514f57fb058dae1f3fb,yes
CGS-000161,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,77390fc36fdd49b7db7f2d374953108a167e114eb34fe1c3812c728a2d5fa6ed,yes
CGS-000162,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,494a61e7b68373545148bbf6dd57948654a57d2f692d3c46c7373e687113a4c4,yes
CGS-000163,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,b841c8da3c11c2a4b016409f0048dc6a5d7f9e0e227fb2b73941dfc1689ed4c5,yes
CGS-000164,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,f1f8b6ebd9af83cc37af9f2b0fd1a83b8c4b42d04a3c208cdc119180e8a902a7,yes
CGS-000165,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,b65260a636b4a2acca1737dec41121b7654201c2a2749458588abbbea121f4a9,yes
CGS-000166,2,1,"USAG DHR, Fort Bragg ID Card Services",6216a54943329d7dd931b7499669e2e9825c5f533e34bd51ead595c202401c46,yes
CGS-000167,1,0,"USAG DHR, Fort Bragg ID Card Services",946a9ec028db6a50abb1284c7421ee9e14139a82022e21a69e8924f464c7c060,yes
CGS-000168,1,0,"USAG DHR, Fort Bragg ID Card Services",a730be66af098a4bef56de52522ac0abed08e023d6cffab3a79e94ae33b6c353,yes
CGS-000169,1,0,"USAG DHR, Fort Bragg ID Card Services",c004b1be7627990926d09c8657330d7c7d5cb4b95e28061d56580dd93259cbc9,yes
CGS-000170,2,1,6515--NetApp,c895c1cd00d125bf2e2188c553125de7137f2d99f0d2137682278c840a29b593,yes
