supplier_master_name,renewal_count,renewal_value
Techniewmics,1,4000000.0
Harding Safety Canada Inc,1,4000000.0
Polaris Industries Ltd. /les Industries Polaris Ltee.,2,4000000.0
Terma Inc,3,3994261.42
Lloyd's Register Atg,2,3987496.55
Suncor Energy Products Partnership,1,3953644.0
Cbci Telecom,1,3940765.0
Ino,1,3937184.35
Associated Engineering,1,3905057.08
Compusult Ltd,1,3904234.83
Exploits Welding And Machine Shop Ltd,1,3903211.55
Critical Solutions International,2,3900941.26
Standard Aero Limited Standaero Limitee,1,3900000.0
Cartel Communication Systems Inc,2,3848894.93
Sensequake,3,3842255.0
Dust-moon Maintenance Ltd,2,3798980.76
Indro Robotics Inc.,2,3784534.43
Cummins Energie Est DU Canada Inc,6,3780127.92
Nav Canada,1,3780000.0
Minodahmun Horizon North Joint Venture,1,3779405.77
Hoskin Scientific Ltd,8,3745857.74
Flender Corporation Canada,5,3727537.18
St-gelais Montminy & Associés Architectes Inc.,2,3725032.94
512473 Ontario Inc,1,3706400.0
Colliers,1,3704432.71
Pacific Safety Products Inc,1,3697784.0
Services Petroliers MT Inc.,3,3691973.15
Orangutech Inc,13,3675033.35
Atlantic Roofers Ltd,2,3674000.0
Gordian,1,3666624.18
Data Communications Management,1,3641131.2
Zero Point Cryogenics Incorporated,2,3637756.87
Seawatch Inc,1,3629693.65
Aral Construction (2014) Ltd,1,3622464.3
6318703 Canada Inc.,3,3621512.77
Primex Project Management Ltd,1,3600000.0
Smiths Detection,2,3590608.0
Ideal Aerosmith Inc,2,3586992.0
Flight Fuels Ltd Partnership,2,3583747.81
Ketza Pacific Contracting Ltd,1,3578854.18
"Lander Simulation & Training Solutions, S.a.",1,3575814.72
Teknion Furniture Systems,18,3547443.63
Falck Safety Services,1,3547442.9
Carverys Construction Ltd,5,3521212.93
Sparkpower Corporation,1,3518820.0
A P M Diesel (1992) Inc,1,3479387.0
"Agilent Technologies - Life Sciences And Chemical Analysis, Americas",8,3470310.91
Evripos Janitorial Services Ltd,2,3464434.13
Wyndscapes Contracting Ltd,1,3459970.0
