source_file,column_name,current_status,commercial_potential,notes
all_canadabuys_award_notices_2022_08_08_onwards.csv,contactInfoCountry-contactInfoPays-eng,inventory_only,to_be_scored,
all_canadabuys_award_notices_2022_08_08_onwards.csv,contactInfoAddressLine-contactInfoAdresseLigne-fra,inventory_only,to_be_scored,
all_canadabuys_award_notices_2022_08_08_onwards.csv,contactInfoCity-contacterInfoVille-fra,inventory_only,to_be_scored,
all_canadabuys_award_notices_2022_08_08_onwards.csv,contactInfoProvince-contacterInfoProvince-fra,inventory_only,to_be_scored,
all_canadabuys_award_notices_2022_08_08_onwards.csv,contactInfoCountry-contactInfoPays-fra,inventory_only,to_be_scored,
all_canadabuys_award_notices_2022_08_08_onwards.csv,awardDescription-descriptionAttribution-eng,inventory_only,to_be_scored,
all_canadabuys_award_notices_2022_08_08_onwards.csv,awardDescription-descriptionAttribution-fra,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,title-titre-eng,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,title-titre-fra,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,referenceNumber-numeroReference,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,amendmentNumber-numeroModification,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,solicitationNumber-numeroSollicitation,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,contractNumber-numeroContrat,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,publicationDate-datePublication,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,contractAwardDate-dateAttributionContrat,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,amendmentDate-dateModification,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,contractStartDate-contratDateDebut,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,contractEndDate-dateFinContrat,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,contractAmount-montantContrat,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,totalContractValue-valeurTotaleContrat,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,contractCurrency-contratMonnaie,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,awardStatus-attributionStatut-eng,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,awardStatus-attributionStatut-fra,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,instrumentType-typeInstrument-eng,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,instrumentType-typeInstrument-fra,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,amendmentType-typeModification-eng,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,amendmentType-typeModification-fra,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,gsin-nibs,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,gsinDescription-nibsDescription-eng,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,gsinDescription-nibsDescription-fra,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,unspsc,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,unspscDescription-eng,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,unspscDescription-fra,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,procurementCategory-categorieApprovisionnement,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,noticeType-avisType-eng,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,noticeType-avisType-fra,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,procurementMethod-methodeApprovisionnement-eng,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,procurementMethod-methodeApprovisionnement-fra,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,selectionCriteria-criteresSelection-eng,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,selectionCriteria-criteresSelection-fra,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,limitedTenderingReason-raisonAppelOffresLimite-eng,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,limitedTenderingReason-raisonAppelOffresLimite-fra,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,tradeAgreements-accordsCommerciaux-eng,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,tradeAgreements-accordsCommerciaux-fra,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,regionsOfDelivery-regionsLivraison-eng,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,regionsOfDelivery-regionsLivraison-fra,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,supplierLegalName-nomLegalFournisseur-eng,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,supplierAddressLine-ligneAdresseFournisseur-eng,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,supplierAddressCity-fournisseurAdresseVille-eng,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,supplierAddressProvince-fournisseurAdresseProvince-eng,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,supplierAddressPostalCode-fournisseurAdresseCodePostal,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,supplierAddressCountry-fournisseurAdressePays-eng,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,supplierLegalName-nomLegalFournisseur-fra,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,supplierAddressLine-ligneAdresseFournisseur-fra,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,supplierAddressCity-fournisseurAdresseVille-fra,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,supplierAddressProvince-fournisseurAdresseProvince-fra,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,supplierAddressCountry-fournisseurAdressePays-fra,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,contractingEntityName-nomEntitContractante-eng,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,contractingEntityAddressLine-ligneAdresseEntiteContractante-eng,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,contractingEntityAddressCity-entiteContractanteAdresseVille-eng,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,contractingEntityAddressProvince-entiteContractanteAdresseProvince-eng,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,contractingEntityAddressPostalCode-entiteContractanteAdresseCodePostal,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,contractingEntityAddressCountry-entiteContractanteAdressePays-eng,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,contractingEntityName-nomEntitContractante-fra,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,contractingEntityAddressLine-ligneAdresseEntiteContractante-fra,inventory_only,to_be_scored,
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,contractingEntityAddressCity-entiteContractanteAdresseVille-fra,inventory_only,to_be_scored,
