candidate_value,frequency,proposed_labels,quality_score,recommendation
DEPARTMENT,8,unclassified,30,review
PAGES,7,unclassified,30,review
SAFETY,7,unclassified,30,review
HAZARD,7,unclassified,30,review
ASSESSMENT,7,unclassified,30,review
RIESGOS,7,unclassified,30,review
SERVICE,7,unclassified,30,review
EMPLOYMENT,7,unclassified,30,review
STANDARDS,7,unclassified,30,review
FIGURE,6,unclassified,30,review
CONTRACTORS,6,unclassified,30,review
WATER,6,unclassified,30,review
OCCUPATION,6,unclassified,30,review
FOOTNOTE,6,unclassified,30,review
COMPLIANCE,5,unclassified,30,review
FA568226Q0014,5,unclassified,30,review
ROUND,5,unclassified,30,review
INTERIOR,5,unclassified,30,review
LOCATION,5,unclassified,30,review
COORDINATE,5,unclassified,30,review
CENTER,5,unclassified,30,review
Lead,4,staffing_or_role,30,review
UCS-DDR5-BLK,3,unclassified,30,review
FA5682,2,unclassified,30,review
PR481393,2,unclassified,30,review
RFP481393,2,unclassified,30,review
PAS800L-ESX,2,unclassified,30,review
RFP480603,2,unclassified,30,review
PR480603,2,unclassified,30,review
N-4643,2,unclassified,30,review
Q-00005,2,unclassified,30,review
Solicitation,58,buyer_process_or_document,20,review
Quote,37,buyer_process_or_document,20,review
Will,19,unclassified,20,review
Serv,18,unclassified,20,review
Note,17,unclassified,20,review
ACRs,15,unclassified,20,review
Bulk,14,unclassified,20,review
Fuel,14,unclassified,20,review
Iran,13,unclassified,20,review
RFIs,13,unclassified,20,review
Task,12,unclassified,20,review
Upgr,12,unclassified,20,review
Sect,12,unclassified,20,review
Firm,11,unclassified,20,review
Inventory,9,unclassified,20,review
Repair,9,unclassified,20,review
Mexico,9,unclassified,20,review
Table,8,unclassified,20,review
Office,8,unclassified,20,review
Standards,8,unclassified,20,review
Safety,8,unclassified,20,review
Portal,8,unclassified,20,review
Prime,8,unclassified,20,review
Entity,8,unclassified,20,review
Agreement,8,unclassified,20,review
Rates,8,unclassified,20,review
Specific,8,unclassified,20,review
Design,8,unclassified,20,review
