filtered_pattern_id,semantic_pattern,frequency,dominant_family,original_confidence,quality_score,adjusted_confidence,quality_hits,status,created_at
SP-000324,applies to amendments,4,Administrative,0.62,8,0.46,amendment,quality_accepted,2026-06-27 17:34:06
SP-000325,to amendments of,4,Administrative,0.62,8,0.46,amendment,quality_accepted,2026-06-27 17:34:06
SP-000326,amendments of solicitations,4,Administrative,0.62,11,0.51,amendment;solicitation,quality_accepted,2026-06-27 17:34:06
SP-000328,above numbered solicitation,4,Administrative,0.62,8,0.46,solicitation,quality_accepted,2026-06-27 17:34:06
SP-000329,numbered solicitation is,4,Administrative,0.62,8,0.46,solicitation,quality_accepted,2026-06-27 17:34:06
SP-000330,solicitation is amended,4,Administrative,0.62,8,0.46,solicitation,quality_accepted,2026-06-27 17:34:06
SP-000337,only applies to amendments,4,Administrative,0.62,9,0.48,amendment,quality_accepted,2026-06-27 17:34:06
SP-000338,applies to amendments of,4,Administrative,0.62,9,0.48,amendment,quality_accepted,2026-06-27 17:34:06
SP-000339,to amendments of solicitations,4,Administrative,0.62,12,0.52,amendment;solicitation,quality_accepted,2026-06-27 17:34:06
SP-000340,the above numbered solicitation,4,Administrative,0.62,9,0.48,solicitation,quality_accepted,2026-06-27 17:34:06
SP-000341,above numbered solicitation is,4,Administrative,0.62,9,0.48,solicitation,quality_accepted,2026-06-27 17:34:06
SP-000342,numbered solicitation is amended,4,Administrative,0.62,9,0.48,solicitation,quality_accepted,2026-06-27 17:34:06
SP-000343,solicitation is amended as,4,Administrative,0.62,9,0.48,solicitation,quality_accepted,2026-06-27 17:34:06
SP-000350,of this amendment,4,Proposal,0.62,8,0.46,amendment,quality_accepted,2026-06-27 17:34:06
SP-000357,to the solicitation,4,Unclassified,0.62,8,0.46,solicitation,quality_accepted,2026-06-27 17:34:06
SP-000379,to award a,4,Unclassified,0.62,8,0.46,award,quality_accepted,2026-06-27 17:34:06
SP-000383,award a contract,4,Unclassified,0.62,8,0.46,award,quality_accepted,2026-06-27 17:34:06
SP-000392,hills national cemetery,4,Unclassified,0.62,8,0.46,cemetery,quality_accepted,2026-06-27 17:34:06
SP-000393,black hills national cemetery,4,Unclassified,0.62,9,0.48,cemetery,quality_accepted,2026-06-27 17:34:06
SP-000406,affairs national cemetery,4,Unclassified,0.62,8,0.46,cemetery,quality_accepted,2026-06-27 17:34:06
SP-000410,veterans affairs national cemetery,4,Unclassified,0.62,9,0.48,cemetery,quality_accepted,2026-06-27 17:34:06
SP-000411,affairs national cemetery administration,4,Unclassified,0.62,12,0.52,cemetery;nist,quality_accepted,2026-06-27 17:34:06
SP-000420,synopsis solicitation for,4,Unclassified,0.62,8,0.46,solicitation,quality_accepted,2026-06-27 17:34:06
SP-000428,a combined synopsis solicitation,4,Unclassified,0.62,9,0.48,solicitation,quality_accepted,2026-06-27 17:34:06
SP-000429,combined synopsis solicitation for,4,Unclassified,0.62,9,0.48,solicitation,quality_accepted,2026-06-27 17:34:06
SP-000430,accordance with the format,4,Unclassified,0.62,9,0.48,cor,quality_accepted,2026-06-27 17:34:06
