issue_type,contract_number,supplier,value
zero_value,CW2357704,A1 Plumbing Pumps And Water Treatment,0.0
zero_value,CW2365722,Unisource Technology,0.0
zero_value,CW2365702,Olympia Triumph Manufacturing,0.0
zero_value,CW2404813,Global Ship Solutions,0.0
zero_value,CW2451235,Sismo Extrusions Les Extrusions Sismo,0.0
zero_value,CW2448024,Sismo Extrusions Les Extrusions Sismo,0.0
zero_value,CW2409658,Bmi 2000,0.0
zero_value,CW2318014,Hampidjan,0.0
zero_value,CW2396198,Msc Industrial Supply,0.0
zero_value,CW2368253,Jrv,0.0
zero_value,CW2368255,Les Industries Qu Bec Bolts,0.0
zero_value,CW2368257,Prd,0.0
zero_value,CW2425959,Prd,0.0
zero_value,CW2369594,Dalex Qu Bec,0.0
zero_value,CW2318246,R And R Automation,0.0
zero_value,CW2450497,Don S Photo Shop,0.0
zero_value,CW2450529,Henry S Enterprises,0.0
zero_value,CW2450538,Nikon,0.0
zero_value,CW2450543,Royal Photo,0.0
zero_value,CW2450226,Canon,0.0
zero_value,CW2420558,Nd Trading,0.0
zero_value,CW2426114,Skalar,0.0
zero_value,CW2445407,Carl Zeiss,0.0
zero_value,CW2398938,Isospark Analytical Solutions,0.0
zero_value,CW2404059,Mfe Inspection Solutions,0.0
zero_value,CW2404054,Cd Nova,0.0
zero_value,CW2404063,Cem,0.0
zero_value,CW2404065,New Horizons Scientific Supply Dba Westlab,0.0
zero_value,CW2369444,Avensys Solutions,0.0
zero_value,CW2351646,Osis Medical,0.0
zero_value,CW2343563,Struers,0.0
zero_value,CW2343567,Betatek,0.0
zero_value,CW2346155,Leco Instruments,0.0
zero_value,CW2357694,Crozier Heating,0.0
zero_value,CW2443621,Kleysen Group,0.0
zero_value,CW2443624,Nsc Minerals,0.0
zero_value,CW2329610,Nsc Minerals,0.0
zero_value,CW2361848,Edmonton Valve And Fitting,0.0
zero_value,CW2329818,Melanite Group,0.0
zero_value,CW2353059,Ottawa Compressor Services,0.0
zero_value,CW2373723,Dafco Filtration Group Corpora,0.0
zero_value,CW2418625,Camfil,0.0
zero_value,CW2378673,Camfil,0.0
zero_value,CW2402669,Promega,0.0
zero_value,CW2402682,Promega,0.0
zero_value,CW2324725,Visiontec Systems,0.0
zero_value,CW2370977,Invitrogen Applied Biosystems,0.0
zero_value,CW2368667,Invitrogen Applied Biosystems,0.0
zero_value,CW2342745,Bio Rad Laboratories,0.0
zero_value,CW2329728,Agilent Technologies,0.0
zero_value,CW2306166,Fisher Scientific Thermo Fisher,0.0
zero_value,CW2303130,Labplas,0.0
zero_value,CW2376784,Neogen,0.0
zero_value,CW2401410,3555844,0.0
zero_value,CW2407859,Latent Forensic Services,0.0
zero_value,CW2427358,Rigaku Analytical Devices,0.0
zero_value,CW2435981,Standard Biotools,0.0
zero_value,CW2455187,Brs,0.0
zero_value,CW2319692,Idexx Laboratories,0.0
zero_value,CW2438843,Innovasea Marine Systems,0.0
zero_value,CW2439876,Fisher Scientific Thermo Fisher,0.0
zero_value,CW2429663,Lgc Genomics,0.0
zero_value,CW2298609,Environmental Sampling Technologies,0.0
zero_value,CW2335145,Rollantech,0.0
zero_value,CW2395955,6966624,0.0
zero_value,CW2336018,6966624,0.0
zero_value,CW2325646,Aquatic Life,0.0
zero_value,CW2346640,Ott Hydromet,0.0
zero_value,CW2416589,Innovasea Marine Systems,0.0
zero_value,CW2368518,Teramara,0.0
zero_value,CW2420487,Invitrogen Applied Biosystems,0.0
zero_value,CW2395957,Invitrogen Applied Biosystems,0.0
zero_value,CW2358861,Cedarlane,0.0
zero_value,CW2414505,Biospyder Technologies,0.0
zero_value,CW2352238,Quidelortho,0.0
zero_value,CW2449188,Medsup Medical,0.0
zero_value,CW2449205,Magnolia Medical Products,0.0
zero_value,CW2449220,Medique Medical Supplies Mgbr,0.0
zero_value,CW2449223,Pop Professional Orthopedic Products Pop Produits Orthopedique Professionnel,0.0
zero_value,CW2449229,Phare M Dica,0.0
zero_value,CW2449232,Surgo Surgical Supply,0.0
zero_value,CW2449247,Stevens,0.0
zero_value,CW2449251,Vwr International,0.0
zero_value,CW2448932,Canadian Tactical And Operational Medical Solutions,0.0
zero_value,CW2448951,Cardinal Health,0.0
zero_value,CW2448909,Bio Nuclear Diagnostics,0.0
zero_value,CW2449020,Dunbar Medical,0.0
zero_value,CW2449068,Ferno,0.0
zero_value,CW2449077,Ge Healthcare,0.0
zero_value,CW2449087,Getinge,0.0
zero_value,CW2449095,Grand Medicine Health Services O A Spiritrx Services,0.0
zero_value,CW2449105,Keir Surgical,0.0
zero_value,CW2448798,Allied Medical Instruments,0.0
zero_value,CW2448813,Aymes Medical,0.0
zero_value,CW2448832,Bcl X Ray,0.0
zero_value,CW2448759,Advanced Sterilization Products,0.0
zero_value,CW2448745,Vexxia Solutions,0.0
zero_value,CW2449201,Meve Imports,0.0
zero_value,CW2334828,Metro Logistics,0.0
zero_value,CW2334675,Innomar Strategies,0.0
zero_value,CW2319328,Accuristix,0.0
zero_value,CW2447101,Exactblue Technologies,0.0
zero_value,CW2395290,Rescue Ncr,0.0
zero_value,CW2395269,Rescue 7,0.0
zero_value,CW2395276,Mss,0.0
zero_value,CW2395191,Iridia Medical,0.0
zero_value,CW2395148,First Aid Plus,0.0
zero_value,CW2395153,Aed4Life,0.0
zero_value,CW2395156,Heartzap Services,0.0
zero_value,CW2395064,Strategic Operations,0.0
zero_value,CW2334356,Tactical Electronics And Military Supply L L C,0.0
zero_value,CW2407714,Wi Com Solutions,0.0
zero_value,CW2427991,Centre De Telephone Mobile,0.0
zero_value,CW2385979,Sigma Eight,0.0
zero_value,CW2358346,Int Research,0.0
zero_value,CW2383299,Rockwell Collins,0.0
zero_value,CW2380632,D Fense Simex,0.0
zero_value,CW2422565,Testworx,0.0
zero_value,CW2422854,Apec Systems,0.0
zero_value,CW2422472,Screaming Geese,0.0
zero_value,CW2428726,Evertz Microsystems,0.0
zero_value,CW2437654,Romeo One,0.0
zero_value,CW2450954,ACCENTURE,0.0
zero_value,CW2450961,ACCENTURE,0.0
zero_value,CW2450966,Cache Computer Consulting Syst Mes Syntax Lt E Syntax Systems In Joint Venture,0.0
zero_value,CW2450968,DELOITTE,0.0
